city,population,lat,lon,bundesland
Obernburg am Main,8884,49.84,9.141388888,Bayern
Eschenbach in der Oberpfalz,4646,49.754722222,11.830555555,Bayern
Kaufering,10508,48.083333333,10.883333333,Bayern
Schönberg,3902,48.833333333,13.333333333,Bayern
Zeitlofs,2030,50.266666666,9.666666666,Bayern
Manching,13083,48.718611111,11.497222222,Bayern
Randersacker,3489,49.758888888,9.982777777,Bayern
Q174307,1144,48.934444444,11.79,Bayern
Heroldsberg,8488,49.533333333,11.15,Bayern
Zell im Fichtelgebirge,1880,50.133333333,11.820833333,Bayern
Stadtlauringen,4178,50.188055555,10.359444444,Bayern
Schirnding,1156,50.080555555,12.226944444,Bayern
Ruhstorf an der Rott,7100,48.437777777,13.336111111,Bayern
Burghaslach,2724,49.716666666,10.583333333,Bayern
Markt Oberstaufen,7852,47.554444444,10.021111111,Bayern
Ziemetshausen,3231,48.3,10.533333333,Bayern
Donaustauf,4589,49.028888888,12.208055555,Bayern
Oberstdorf,9773,47.409722222,10.279166666,Bayern
Aislingen,1301,48.5,10.45,Bayern
Aindling,4711,48.516666666,10.95,Bayern
Markt Bibart,1895,49.64784,10.42679,Bayern
Bad Endorf,8452,47.9,12.3,Bayern
Mantel,2777,49.65275,12.041936111,Bayern
Marktschellenberg,1770,47.695018,13.046725,Bayern
Mering,15264,48.2625,10.984444444,Bayern
Mallersdorf-Pfaffenberg,6963,48.766666666,12.233333333,Bayern
Altmannstein,7165,48.9,11.65,Bayern
Markt Erlbach,5727,49.483333333,10.65,Bayern
Wiesentheid,4992,49.8,10.35,Bayern
Mitterfels,2913,48.966666666,12.683333333,Bayern
Laaber,5366,49.065277777,11.886111111,Bayern
Nittendorf,9402,49.025555555,11.958888888,Bayern
Stammbach,2346,50.15,11.7,Bayern
Mittenwald,7247,47.441944444,11.260277777,Bayern
Prien am Chiemsee,11262,47.85602,12.34623,Bayern
Massing,4192,48.3911,12.6093,Bayern
Ergolding,13378,48.583333333,12.166666666,Bayern
Kreuzwertheim,3944,49.766666666,9.516666666,Bayern
Waldthurn,1894,49.671388888,12.332222222,Bayern
Lam,2720,49.2,13.05,Bayern
Königsberg in Bayern,3614,50.077777777,10.566666666,Bayern
Absberg,1462,49.143611111,10.881111111,Bayern
Ruhmannsfelden,2020,48.983333333,12.983333333,Bayern
Plech,1349,49.651944444,11.468333333,Bayern
Lappersdorf,13524,49.0525,12.090277777,Bayern
Ammerndorf,2043,49.420833333,10.851388888,Bayern
