large_city,large_city_population,comparison_place,size_class,population,distance_km,search_radius_km,lat,lon,municipality_key,wikidata_id
Trieste,198417,Monfalcone,medium,29479,24.808598004637354,30,45.8,13.533333333,031012,Q53133
Trieste,198417,Muggia,small,12862,5.597689616327976,30,45.6,13.766666666,032003,Q16937
Trieste,198417,Doberdò del Lago,rural,1340,28.830465191270584,30,45.85,13.533333333,031003,Q53125
Parma,196764,Parma,large,196764,0.0,0,44.801472222,10.328,034027,Q2683
Parma,196764,Fidenza,medium,26945,22.247863318403347,30,44.866361111,10.061111111,034014,Q100811
Parma,196764,Collecchio,small,14684,10.392195038940361,30,44.752694444,10.215694444,034009,Q100779
Parma,196764,Mezzani,rural,3218,15.264374359281256,30,44.916666666,10.433333333,034021,Q4920
Brescia,196446,Brescia,large,196446,0.0,0,45.538888888,10.220280555,017029,Q6221
Brescia,196446,Lumezzane,medium,21424,12.871372787514956,30,45.65,10.266666666,017096,Q105070
Brescia,196446,Roncadelle,small,9201,5.3190725517493265,30,45.52718,10.15407,017165,Q111630
Brescia,196446,Maclodio,rural,1484,15.471756088182763,30,45.48042715,10.04010785,017097,Q105095
Prato,195736,Prato,large,195736,0.0,0,43.880813888,11.096561111,100005,Q13377
Prato,195736,Campi Bisenzio,medium,47462,6.8153053348462835,30,43.825555555,11.133333333,048006,Q82636
Prato,195736,Calenzano,small,18084,6.008322351983336,30,43.856666666,11.163611111,048005,Q82635
Prato,195736,Cantagallo,rural,3100,15.143232499906212,30,44.016666666,11.083333333,100001,Q20382
Taranto,188098,Taranto,large,188098,0.0,0,40.471111111,17.243055555,073027,Q13498
Taranto,188098,Massafra,medium,31960,16.426358450695002,30,40.583333333,17.116666666,073015,Q52024
Taranto,188098,San Giorgio Ionico,small,14231,10.718107252119145,30,40.45,17.366666666,073024,Q52035
Taranto,188098,Fragagnano,rural,4950,19.381240435622363,30,40.433333333,17.466666666,073006,Q52012
Modena,184153,Modena,large,184153,0.0,0,44.64582,10.92572,036023,Q279
Modena,184153,Formigine,medium,34467,10.101596252615414,30,44.573888888,10.847777777,036015,Q100055
Modena,184153,Campogalliano,small,8504,8.466944836047912,30,44.6903765,10.8388971,036003,Q100039
Modena,184153,Guiglia,rural,4096,24.731781492528434,30,44.425,10.963055555,036017,Q100057
Reggio Calabria,170951,Reggio Calabria,large,170951,0.0,0,38.114438888,15.65,080063,Q8471
Reggio Calabria,170951,Milazzo,medium,30043,37.864526081018965,50,38.217,15.237,083049,Q487929
Reggio Calabria,170951,Villa San Giovanni,small,12752,11.460231429273069,30,38.216666666,15.633333333,080096,Q54689
Reggio Calabria,170951,San Roberto,rural,1518,15.302983266771301,30,38.2057046,15.78100535,080077,Q54655
Reggio Emilia,169545,Reggio Emilia,large,169545,0.0,0,44.7,10.633333333,035033,Q13360
Reggio Emilia,169545,Scandiano,medium,25686,12.705782489216118,30,44.5925,10.687777777,035040,Q111289
Reggio Emilia,169545,Cadelbosco di Sopra,small,10613,7.866744199925137,30,44.766666666,10.6,035008,Q111120
Reggio Emilia,169545,Viano,rural,3393,17.40124634317417,30,44.5437293,10.6216195,035044,Q111302
Perugia,161748,Perugia,large,161748,0.0,0,43.11191816,12.38854847,054039,Q3437
Perugia,161748,Corciano,medium,21535,8.504830854639144,30,43.12837957,12.28621801,054015,Q20421
Perugia,161748,Torgiano,small,6583,10.279910119077385,30,43.02563097,12.43397731,054053,Q20590
Perugia,161748,Valfabbrica,rural,3205,18.078498357979868,30,43.15942427,12.60162302,054057,Q20696
Ravenna,155751,Ravenna,large,155751,0.0,0,44.416111111,12.201666666,039014,Q13364
Ravenna,155751,Lugo,medium,32015,22.635796019970147,30,44.416666666,11.916666666,039012,Q52983
Ravenna,155751,Russi,small,12190,14.081327950584969,30,44.37645,12.03335,039016,Q52988
Ravenna,155751,Sant'Agata sul Santerno,rural,2893,26.671929272117257,30,44.433333333,11.866666666,039017,Q52989
Livorno,152914,Livorno,large,152914,0.0,0,43.55,10.316666666,049009,Q6761
Livorno,152914,Pisa,medium,88737,19.708703550885986,30,43.716666666,10.4,050026,Q13375
Livorno,152914,Collesalvetti,small,16281,14.53190600347884,30,43.6,10.483333333,049008,Q157773
Livorno,152914,Fauglia,rural,3649,16.22222107225381,30,43.566666666,10.516666666,050014,Q103090
